,de,ch_dialect
19719,Bereits als Jugendlicher beobachtete William Henry Burt Präriehunde auf der Familienfarm.,Scho als Jugendliche hät de William Henry Burt Präriehünd ufem Familieburehof beobachtet.
23246,Auch seine Blätter werden als Gemüse verwendet.,Au sini Blätter wärde als Gmües verwändet.
29111,"Schade, dass auch diesmal kein aktives Noise Cancelling integriert wurde.","Schad, das dämol keis aktivs Noise Cancelling integriert worde esch."
30603,Sie naschte von den Pralinen.,Sie hed vode Praline gschnaust.
26028,"Werner Salzmann ist gelernter Landwirt, seit 2007 ist er bei der Steuerverwaltung des Kantons Bern Chefexperte Landwirtschaft.","Werner Sakzmann esch glernte Landwert, set 2007 escher beder Stürverwaltig com Kanton Bärn Chefexperte Landwert."
10908,"Wir konnten es nicht sehen, doch an seinem Schnauben war zu hören, daß es eine ungeheuer große und grimmige Bestie sein mußte.","Miar hens nit könna gseh, aber an sinem Schnauba isch s ghöra gsi, dass es a unghüür grossi und grimmigi Bestia het müassa gsi sii."
14743,"Schlupflöcher für Schatzsucher So weit so gut, sagt Anna Petrig.","Schlupflöcher für Schatzsuacher. So wiit so guat, seit d Anna Petrig."
25071,Er hält den Kübel in der Hand.,Är hebt de Kübel in dr Hand.
8886,"Diese durchbrechen die Eisbarriere vor sich, wenn sich in den subglazialen Seen genügend Wasser angesammelt hat.","Dia durchbrechen d Iisbarriera vor sich, wenn sich in da subglaziala Seea gnüagend Wasser agsammlet het."
17808,"Schon rechtlich sei er nicht umsetzbar, weil die Möglichkeiten von steuerlichen Abzügen national geregelt seien.","Nur scho rächtlich gseh seger nöd umsetzbar, will d Möglichkeite vo Stürabzüg national gregled seged."
30749,Habe sie nie zuvor gesehen.,Ha sie vorhär no nie gseh.
16700,"Alles was wir haben, sind indirekte Befunde und die deuten darauf hin, dass es sein könnte, dass es negative Effekte geben könnte.","Alles was mir händ sind indiräkti Befünd und die düted druf hi, dass es si chönnt, dasses negativi Effekt geh chönnt."
27972,Warum schaust du nicht einfach ins Telefonbuch?,Werom luegsch ned eifach es Telefonbuech?
23471,Diese Arten seien gegenüber Trockenheit und Wärme widerstandsfähiger.,Die Artä sige widerstandsfähig gege Trockeheit und Wärmi.
16339,"Nach dem Februaraufstand wurde er in ""Rabenhof"" umbenannt.","Nachem Februarufstand ischer uf ""Rabehof"" umtauft worde."
2144,"Um diesen nämlich realisieren zu können, müsste er in den Richtplan des Kantons Glarus aufgenommen werden.","Um de chöne zrealisiere, müest er in Richtplan vom Kanton Glarus ufgnoh werde."
26299,Vor dem Burn-out sei sein Alkoholkonsum massvoll gewesen: das «typische Feierabendbier».,"Vorem Burnout seigi sin Alkoholkonsum massvoll gsi, s'""typische Fürobebier""."
20629,"Der Wolf lief zum Haus der Großmutter und klopfte an ihre Tür: «Großmutter, hier ist das Rotkäppchen!","Der Wolf isch zum Hüs vaner Grossmama gluffu und het ani Porta gchlopft: ""Grossmama, hie isch z'Rotchäppli!"""
30317,So war im Wallis etwa die Kantonsstrasse zwischen St. Niklaus und Zermatt gesperrt.,So esch zom Bispel em Wallis d Kantonsstross zwösche St. Niklaus ond Zermatt gsperrt gsi.
1905,Immerhin sei die Entlöhnungsfrage thematisiert worden.,Immerhin seg dEntlöhnigsfrog thematisiert worde.
13803,Der Kanton St. Gallen hat nun einen Aktionsplan über die nächsten drei Jahre für den Erhalt dieser seltenen Pflanzen erarbeite.,Dr Kanton St. Galla het jetzt an Aktionsplan über dia nögschta drei Johr für da Erhalt vu denna seltena Pflanza erarbeitet.
15092,"Weil aus der Bevölkerung zahlreiche Fragen an das BAG gerichtet werden, werde das BAG in den nächsten Tagen eine Hotline einrichten.","Will us dr Bevölkerig zahlrichi Froga an ds BAG grichtet werden, werdi ds BAG in da nögschta Täg a Hotline iirichta."
11290,"Die Raab, in die der durch Pertlstein führende Schwengentalbach mündet, fließt nördlich am Ort vorbei.","D Raab, in welli dr dur Pertlstein füahrendi Schwengentalbach mündet, flüsst nördlich am Ort verbii."
1769,Sie hatte ihm einfach die Tür zugeschmissen,Si het ihm eifach dTüre zuegschmisse.
7266,Regenwahrscheinlichkeit Die Regenwahrscheinlichkeit ist gering.,D Regawohrschinlichkeit isch gring.
714,45 Prozent der Feldvögel in der Schweiz sind bedroht.,45 Prozent vo de Feldvögel ide Schwiiz sind bedroht.
6467,Insgesamt sechs Amtsinhaber von zwei Parteien hatten seitdem dieses Amt inne.,Insgesamt sechst Amtsinhaber vu zwei Parteia hend sitdem das Amt inne kah.
14919,"Er hat freiwillig offen gelegt, 2018 finanzielle Leistungen von Amgen und Sanofi erhalten zu haben.","Er het freiwillig offa gleit, 2018 finanzielli Leistiga vu Amgen und Sanofi kriagt z ha."
27779,Die explodierende Granate tötete den Wal schneller.,Die explodierti Granate het de Wal schnäller tötet.
5233,"Er lauert, schleicht sich ran und tötet.","Är luuret, schlicht sich aa und tötet."
17124,"In Uri, Obwalden und Nidwalden dichtere graue Wolken.","In Uri, Obwalde und Nidwalde dichteri graui Wulche."
21733,"Ich will nicht, daß du dich noch weiter mit deiner Mutter zankst.","Ich will nit, dass dü nu witer mit diner Müetter strittusch."
26043,Die Worte der Sommermonate Juli und August.,D'Wort fode Sommermönet Juli ond Auguscht.
7874,Laycock war nicht in der Kutsche mitgefahren.,Dr Laycock isch nit in dr Kutscha mitgfahra.
8554,"Sein Grossvater, Vater und Onkel führten eine Bildhauerwerkstatt in Wettingen.","Sin Grossvater, Vater und Onkel hend a Bildhauerwerkstatt in Wettinga gfüahrt."
30551,Seine künstlerischen Schwerpunkte sind Neue Musik und auch seine Musik improvisiert er.,Sini könstlerische Schwärpönkt send neui Musig ond au sini Musig improvisiert er.
21211,Vor allem Westeuropa und Nordeuropa ist davon betroffen.,Vor allem Weschteuropa und Nordeuropa sind derva betroffu.
17296,Die dänische Regierung will Mitte November wieder Grenzkontrollen bei der Einreise von Schweden nach Dänemark einführen.,Di dänischi Regierig will Mitti Novämber wider Gränzkontrolle bide Ireis us Schwede uf Dänemark ifüere.
8770,"Ein Nachteil des Verfahrens ist, dass nicht in die Tonaufnahme eingegriffen werden kann.","En Nochteil vum Verfahra isch, dass nt in dia Tonufnahma igriffa werda kan."
10602,"Die meisten Fahrer gebrauchen die Straße, um vom Zentrum Londons zu den Midlands und nach Nord England zu kommen.","Dia meista Fahrer bruchen d Strossa, zum vum Zentrum vu London zu da Midlands und noch Nord England z koh."
17811,Auch die statistische Hochrechnung beinhaltet eine gewisse Unschärfe.,Au di staatlichi Hochrächnig hät e gwüssi Unschärfi.
16848,Dem Pluto wurde die Rolle als Planet aberkannt.,De Pulto hät sini Rolle als Planet verlore.
9950,Honolulu wurde schnell zum größten Hafen Hawaiis.,Honolulu isch schnell zum grössta Hafa vu Hawaii worda.
17376,"Auf Kosten der SVP oder auf Kosten der CVP, das ist noch nicht ganz klar.","Uf Choste vode SVP oder uf Choste vode CVP, das isch nonig ganz klar."
25865,Butlers reichhaltige Publikationen umfassen erzählende Literatur und Reiseberichte.,Butlers richhaltige Publikatione omfasse erzählendi Literatur ond Reisebrecht.
30372,Das steigert gemäss Hermann die Attraktivität der Bundespolitik.,Luut em Hermann steigeret das d Attraktivität vode Bondespolitik
14349,Bei den Nationalratswahlen 2015 hatte die GLP die Hälfte ihrer Sitze verloren und kam noch auf 4.5 Prozent Wähleranteil.,"Bi da Nationalrotswahla 2015 het d GLP d Hälfti vu ihrna Sitz verlora kah und isch no uf 4.5 Prozent Wählerateil koh,"
9674,Dieses Sofa ist schon uralt und abgesessen.,Das Kutschi isch schu uralt und abgsessa.
12948,Bis 1918 gehörte der im Komitat Sohl liegende Ort zum Königreich Ungarn und kam danach zur Tschechoslowakei beziehungsweise heute Slowakei.,Bis 1918 het dr im Komitat Sohl liggendi Ort zum Königrich Ungarn ghört und isch nochdem zur Tschechoslowakei bezühigswis hüt Slowakei koh.
19151,"Wie entwickeln sich Infrastruktur, Verkehr, Landschaft, Siedlungen?","Wie entwickled sich d Infrastuktur, de Vercher, d Landschaft und d Sidlige?"
26314,"Schriftlich lassen sie mitteilen, man stehe in engem Austausch mit dem Bundesamt für Gesundheit.","Schreftlech lönd sie loh metteile, dassmer e nöchem Ustusch metem Bondesamt för Gsondheit stoht."
22758,"Auch dieser Beweis enthält einige analytische Schwächen, die erst später beseitigt werden konnten.","Au dä Bewiis het ae paar analytischi Schwäche, wo erst spöter händ könne besitigt wärde."
6415,Das Projekt wurde in der Zwischenzeit eingestellt.,Ds Projekt isch in dr Zwüschaziit igstellt worda.
8003,Er arbeitet schnell also wird er morgen bestimmt fertig sein.,Er schafft schnell also wird er mora bestimmt fertig sii.
29844,Man musste bei ihm erst das Eis brechen.,Zerscht muesch be ehm s Iis bräche.
12109,Aufgrund mangelnden wirtschaftlichen Erfolges musste er das Werk zwei Jahre später an Heinrich Friedrich Ziegler verkaufen.,Ufgrund vu mangelnda wirtschaftlicha Erfolg het er ds Werk zwei Johr spöter müassa and da Heinrich Friedrich Ziegler verkaufa.
15374,"Hannah Arendt zeigt auf, dass Politik lediglich deshalb notwendig ist, weil Menschen unterschiedlich sind.","D Hannah Arendt zeigt uuf, dass Politik numa drum nötig isch, will Menscha unterschiedlich sind."
24374,"Der Aussage, dass das Spiel nur verloren wurde, weil Shaqiri nicht dabei war, würde ich aber widersprechen.","Dr Ussag, dass s Spiel nur verlore worde isch, will dr Shaqiri nid debii gseh isch, würd ich aber widerspräche."
17504,Federer und Nadal streben im 50'000 Zuschauer fassenden Cape Town Stadium einen neuen Zuschauerrekord an.,De Federer und de Nadal strebed im Cape Town Stadium wo 50'000 Zueschauer inepassed en noie Zueschauerrekord ah.
3627,"Innert einer Woche hatten ihn eine Million Hörer heruntergeladen, er schoss auf den dritten Platz der Rangliste von Apple.","Innert ere Wuchä heinä ä Million Hörer abägladä, är isch ufä dritt Platz vor Rangliischtä vo Apple gschossä."
12087,Ein Tag nach den Ostern 1774 brannte der ganze Ort aus.,An Tag noch da Ostera 1774 isch dr ganzi Ort usbrennt.
29634,Ausserdem werden die Menschen in Nordkorea teilweise täglich stundenlang politisch geschult.,Osserdem wärded d Mönsche en Nordkorea teilwiis täglech stondelang politisch gschuelt.
20519,Das zeigte sich am Dienstagabend.,Das het schich am Zischtagabu gizeigt.
11852,Ich habe mich schon bei diesem Antrag ganz klar nur auf das Bundesgesetz bezogen.,I han mi schu bi dem Atrag ganz klar uf ds Bundesgsetz bezoga.
22200,"Die Finanzkrise der Kalifen, die Teuerungen und die Hungersnöte nahmen weiter ab.","D'Finanzkrisa vane Kalifu, die Tiirige und dHungernet nähmunt witer ab."
28941,"Und schliesslich kommt das Wasser zurück, das von den neu belebten Böden wieder gespeichert werden kann.","On schlossändlech chonds Wasser zrogg, wo vode ne beläbte Böde cha gspeicheret wärde."
13459,Das Raubtier soll bis zu 1500 Kilogramm schwer und grösser als ein Eisbär gewesen sein.,Ds Raubtiar söll bis zu 1500 Kilogramm schwer und grösser als en Iisbär gsi sii.
16131,Ende der 80er Jahre spielte ein weltweit bekannter Fussballer beim St. Gallen.,Ändi 80er Jahr hät en wältwit bekannte Fuesballer bi St. Galle gspillt.
1963,Und man solle endlich mit der Subventionierung fossiler Brennstoffe aufhören.,Und me sött endlich mit de Subventionierig vo fossile Brennstoff ufhöre.
15602,Und an Trubnikows Brust baumelt eine getrocknete Kröte.,Und an Trubnikow sinera Brust a tröchneti Kröta.
23094,Er stellte sich noch einmal zur Wiederwahl und scheiterte.,Är het sich nomol zur Wiederwahl gstellt isch isch gschiiteret.
7586,In beiden Fällen erbeuten die Täter mehrere zehntausend Franken.,In beidna Fäll erbüüten d Täter mehreri zehntuusig Franka.
10776,"Dies bewegte mir das Herz so sehr, daß ich alsbald niederkniete und Gott laut für meine Genesung dankte.","Das het miar z Herz so sehr bewegt, dass i abaknült bin und Gott luut für mini Genesig dankt han."
29868,Sie sind sicher gut vorbereitet.,Sie send secher guet vorbereitet.
17074,"Über Genf und Basel wird die Bise wieder schwächer, die Kälte bleibt aber noch.","Über Gänf und Basel wird d Bise wider schwächer, d Chälti blibt aber no."
17555,"Der 26-jährige Stürmer sagt, er wolle der Mannschaft im Powerplay helfen, indem er vor dem Tor Druck mache und auf Abpraller warte.","De 26-jährig Stürmer seit, er wälli de Mannschaft im Powerplay hälfe idem er vorem Goal Druck machi und uf Abpraller warti."
29355,Dort gibt es am Mittwoch und Donnerstag insgesamt etwas zwanzig bis vierzig Zentimeter Neuschnee.,Döt geds am Mettwoch ond Donnstig insgemsamt oppe zwänzg bes vierzg Zentimeter Neuschnee.
10685,"‚Ich vermisse die, die ich früher einmal war‘, klagt Kira in einem großen dramatischen Auftritt.","I vermissa dia, wo i früahner mol gsi bin, klagt d Kira inem grossa dramatischa Uftritt."
24406,Sie sind sicher gut vorbereitet.,Si sin sicher gued vorbereitet.
26535,Er konnte mit seinem Dämpfer einen Prediger ebenso imitieren wie ein schreiendes Baby.,Met sine Dämpfer heter en Prädiger ebeso chönne imitiere wie es schreiends Baby.
16223,Eine große Anzahl seiner Auftraggeber war jüdischen Glaubens und damit dem Nazi-Terror ausgesetzt.,E grossi Ahzahl vo sine Uftraggäber sind jüdisch gsi und dademit em Nazi-Terror usgsetzt gsi.
8258,Hierzu wird eine grüne Mütze getragen.,Dodrzua wird a grüani Mütza treit.
21360,Doch das Subventionsprogramm von Yingluck riss auch ein Loch von mehreren Milliarden Dollar in den Staatshaushalt.,Doch z'Subventionsprogramm vam Yingluck het öi es Loch va mehrere Milliarde Dollar ine Staatshüshalt grissu.
27369,"Die Politik in den USA, aber auch in Europa hat Bedenken wegen Geldwäscherei-Risiken.","D'Polotik ede USA, aber au en Eruopa het Bedänke wäge Gäldwöscherei-Risike."
17221,Sie war in Teheran gestartet und peilte Kiew an.,Si isch in Teheran gstarted und hät Kiew ahpeilt.
22593,"Vielleicht siege ich im nächsten Kampf, sagte Scida.","Veli gwinni im negschtu Kampf, seit Scida."
27313,"Am frühen Morgen -5 Grad, Höchsttemperatur 0 Grad.","Früeh am Morge -5 Grad, Höchsttemperatur 0 Grad."
13974,"Noch offen sei, ob Visp alleine oder zusammen mit Gemeinden der alten Spitalregion Visp den Gebäudekomplex kaufen werde.","No offa sig, ob Visp allei oder zemma mit Gmeinda vu dr alta Spitolregion Visp dr Gebäudekomplex kaufa werdi."
28567,Er führte auch das Servieren von Eiscreme bei nachmittäglichen Empfängen ein.,Är hed au s Serviere vo Glace be Empfäng am Nomitag igfühert.
27895,Sie hat mehr davon genommen.,Sie het meh defo gno.
9967,Gott grüß die Kunst Traditioneller Gruß der Buchdrucker und des Druckgewerbes.,Gott grüasst d Kunst. Traditionella Gruass vu da Buachdrucker und vum Druckgewerbe.
20999,Eine Ausleih-Bestellung muss für den Endkunden trotz Rückversand-Kosten billiger sein als die Anschaffung.,En Üsentlehn-Bstellig müess fer de Ändchund trotz Rückversand-Choschte billiger sii wa d'Ahschaffig.
7342,"Sozialer Ausgleich: Es geht nicht nur darum, dass die Unternehmenssteuern massiv gesenkt werden.","Soziala Uusglich: Es goht nit nur drum, dass d Unternehmensstüüra massiv gsenkt werden."
9847,"Der Drucker und Übersetzer William Marshall fertigte für Thomas Cromwell eine englische Übersetzung an, die 1535 in London erschien.","Dr Drucker und Übersetzer William Marshall het für dr Thomas Cromwell a englischi Übersetzig agfertigt, wo 1535 in London erschiena isch."
6723,Die «Rundschau» hat alle Parlamentarierinnen dazu befragt.,"D ""Rundschau"" het alli Parlamentarierinna drzua befrogt."
2382,Hast du auch den lauten Knall gestern Vormittag gehört?,hesch au de luuti Knall gest am Morge ghört?
24074,"Es gelang ihm auch, sich zu distanzieren vom Image der kemalistischen CHP als elitäre und säkulare Partei.","Äs isch em au glunge, sich z distanziere vom Image vo dr kemalistische CHP als elitäri und sakuläri Partei."
1484,"Andrea Faye, die sich dem links-progressiven Lager zuordnet, pflichtet ihm bei.","dAndrea Faye, wo sich em links-progressive Lager zuordnet, pflichtet ihm bii."
26685,Jetzt in der Nacht bleibt es bei uns also ruhig.,Jetzt ede Nacht bliebts be eus also ruehig.
1824,Die Schneeflocken wachsen aus sechseckigen Eiskristallen.,Dschneeflocke wachsed us sechseggige Iiskristall.
11304,Juni 1926 wurde dem Kurort das Beiwort Bad verliehen.,Juni 1926 isch am Kurort ds Biiwort Bad verlieha worda.
21901,Die USA werden am diesjährigen Weltwirtschaftsforum in Davos vertreten sein.,D'USA wärdunt dischers Jahr am Wältwirtschaftsforum verträtu sii.
2237,Coppola schaute sich noch andere unabhängige Studios an.,Coppola het sich no anderi unabhängigi Studios aagluegt.
4038,"Die globale LGBT-Community freut's: Denn die Metropole gilt als «Gay Capital», als liberale Insel im Nahen Osten.","Die globali LGBT-Community fröits: denn d Metropolä giut aus ""Gay Capital"", aus liberali Inslä im Nahä Oschtä."
26212,Im Auftrag des biologischen Weinhandelsunternehmens Delinat erweckte er in der Provence ein heruntergekommenes Weingut zu neuem Leben.,Em Uftrag fom biologische Wihandelsonternähme Delinat het er ede Provinz es heronterglassnigs Wiguet zroggerweckt.
20348,Als Frau musste sie sich die Möglichkeit einer Habilitation erkämpfen.,Als Fröi het schi schich d'Meglichkeit vaner Habilitation miessu erkämpfu.
9963,Sie hatte zudem längere Beziehungen mit David Lynch und Gary Oldman.,Sie het zudem längeri Bezüchiga mit am David Lynch und am Gary Oldman kah.
12242,"Die Hinterräder standen sehr dicht nebeneinander, sodass der Eindruck entstand, es wäre ein Dreirad.","D Hinterräder sind sehr nöch nebanand Gstanda, so dass dr Idruck entstanda isch, es wär as Dreirad."
18315,"Der Erzmagier prahlte wohl damit, um dem Volk als unsterblich zu erscheinen.","De Erzmagier hät wahrschindli mit däm ahgeh, zum bim Volk als unsterblich zgälte."
24950,Um ihn abzulenken starre ich in mit besonders wütenden Blick an.,Zum ihn ablänke hani ihn mit me bsunders hässige Blick ahgstarrt.
15265,"So wird die Nationalbank wohl weiterhin auf dem Devisenmarkt intervenieren, um den Franken bei Bedarf zu schwächen.","So wird d Nationalbank wohl wiiterhin uffem Devisamarkt interventiara, zum dr Franka bi Bedarf z schwächa."
27907,Irgendjemand pfuscht mir hier ins Handwerk.,Ergendöper pfuscht mer do es Handwärch.
11154,Daher wagte ich mich jetzt an die Küste und warf Anker an der Mündung eines kleinen Flusses.,Drum han i mi jetzt an d Küsta gwogt und han dr Anker an dr Mündig vunem klina Fluss gworfa.
28369,«Dass ich dich besser packen kann!»,"""Das ech dech besser cha packe!"""
25110,Diese sind mit den Schlagtönen e und g abgestimmt und werden von Hand geläutet.,Die sind mit de Schlagtön e und g abgstimmt und wärde vo Hand glütte.
22713,"Ich fühlte mich verschaukelt, geprellt, in übelster Weise getäuscht.","Ich ha mi verschauklut gfühlt, giprellt, in ibelschter Wiiss gitüüscht."
28253,Zieh die Jacke besser aus sonst erstickst du ja noch.,"Zieh dini Jagge lieber ab, sösch verstecksch no."
4422,"Ich kann meine Herztätigkeit nicht einstellen, wenn du weinst, als wäre dein Herz gebrochen.","I cha mini Härztätigkeit nid ufhörä, we du grännisch, aus wär dis Härz brochä."
8416,Die Streifen können aus dünnem Pergamentpapier oder aus durchsichtiger Kunststofffolie sein.,D Striifa könn us dünnem Pergamentpapier oder us durchsichtiger Kunststofffolia sii.
29203,"Den Zugang gewährte ein etwa zwölf Meter hoher, tonnengewölbter Torturm.","De Zuegang hed en öppe zwölf Meter höche, tonnegwölbte Torm gwährt."
11741,Barbara Egger hat das Gesicht des Kantons auch beim Hochwasserschutz sehr stark geprägt.,D Barbara Egger het ds Gsicht vum Kanton au bim Hochwasserschutz stark prägt.
24350,"Und der Schweizer Branchen-Primus beschrieb danach, wie schwierig es war, gegen Nadal zu spielen.","Und dr Schwiizer Branche-Primus het nocher beschriibe, wie schwierig s gseh isch, gege de Nadal z'spiele."
861,In der Schweiz ist nur jedes 5. verschriebene Medikament ein Generikum.,I de Schwiiz isch nur jedes 5. voschidene Medikament es Generikum.
18552,Du belastest mich wieder mal unnötig mit deinen Fragen.,Du belastisch mich widermal unnötig mit dine Frage.
6737,Als Kind habe ich die «Kummerbuben-Serie» gesehen bei den Nachbarn.,"Als Kind han i d ""Kummerbuaba-Serie"" bi da Nochbara gseh."
2431,"Wahrscheinlich motzt Rado nachher wieder, weil diese Anmoderation nicht abgesprochen war.","Wohrschinli motzt de Rado nocher wieder, will dAmoderation nöd abgsproche gsi isch."
29517,"Da die SNB aber vermeiden will, dass der Franken sich zum Euro stark aufwertet, wird sie die Zinsen wohl nicht vor der EZB erhöhen.","Well d SNB aber wett vermiide, dass sech de Franke gägenöber em Euro z starch ufwärtet, werd sie ehrei Zinse wahrschinlech ned vor de EZB ufetue."
13494,"Aussergewöhnlich sei insbesondere, dass der Niedrigstand so lange anhalte.","Ussergwöhnlich sig bsunders, dass dr Niedrigstand so lang ahalti."
8469,"Erregte Menschen sprechen schneller, wütende Menschen sprechen lauter, verängstigte Menschen dagegen eher leiser.","Erregti Menscha reden schneller, hässigi Menscha rede luuter, verängstigti Menscha drgega eher lisliger."
5498,Ich zog mich also vor dem Arzt aus.,I han mi also vor em Arzt abzoga.
9989,Galtung und Ruge prüfen ihre Theorie nur in Bezug auf einige Detailhypothesen.,Galtung und Ruge prüafen ihri Theorie nur in Bezug uf einigi Detailhypothesa.
27586,Einen Stadt-Land-Graben kann man im Kanton Aargau daher nicht erkennen.,En Stadt-Land-Grabe chamer dorom em Kanton Aargau ned erkenne.
24548,Am Sonntag und am Montag zeitweise sonnig.,Am Sunntig und am Mentig ziitwiis sunnig.
20118,Im Frühjahr ist der Waldboden großflächig mit Buschwindröschen bedeckt.,Im Früehling isch der Waldbodu grossflächig mit Buschwindrosjini bedeckt.
18263,Die Fahnen der Stadt wehten auf halbmast und alle Glocken der Stadt läuteten.,D Fahne vode Stadt händ uf halbmast gwinded und alli Glogge vode Stadt händ glüted.
20889,Was ist Fake?,Was isch Fake?
10440,"Sein bekanntestes Lied ist So ein Tag, so wunderschön wie heute!","Sis bekanntista Liad isch So ein Tag, so wunderschön wie huete!"
30583,Du gehst leise über den Dachboden,Du laufsch liislig öber de Estrich.
24342,SRF zeigt das EM-Startspiel der Schweiz gegen Schweden ab 20:20 Uhr als Livestream.,Dr SRF zeigt s EM-Startspiel vo dr Schwiiz gege Schwede ab em 20:20 als Livestream.
28397,Er war Geh.,Är esch Geh gsi.
3563,"Diese Fremdbestimmung und die damit verbundenen Schwankungen zeigen, wie schwierig es ist, mit hochpräzisen Planzahlen zu agieren.","Die Frömdbeschtimmig und die drmit verbundenä Schwankigä zeigä, wi schwirig s isch, mit hochpräzisä Planzahlä z agierä."
2026,"Selbst Photoshop-Hersteller Adobe weiss nicht, wie die Technologie genau funktioniert.","Selbst de Photoshop Hersteller Adobe weiss nöd, wie dTechnolgie gnau funktionniert."
18455,"Es reicht, wenn du es grob skizzierst.","Es langed, wenn dus grob skizziersch."
22605,"Es reicht, wenn du es grob skizzierst.","Es längt, wenn dü das grob skizziersch."
24387,Wie schlägt sich die Schweiz gegen Dänemark?,Wie schloht sich d Schwiiz gege Dänemark?
22201,Seither hat sie stark abgenommen.,Sithär het schi starch abgnu.
13678,Ideale Bedingungen sind das für die Arbeit von Saatgutanbauer Tulipan Zollinger.,Ideali Bedingiga sind ds für d Arbet vu Saatguatabauer Tulipan Zollinger.
30226,Im Rahmen ihrer Medientechnologie-​Initiative schafft die ETH Zürich eine neue Professur und ein «Media Tech Center».,"Em Rahme vo ehrere Medietechnologie-Initiative, schafft d ETH Zöri e neui Professur ond es ""Media Tech Center""."
1565,"Nun hat sie es in der Hand, die Lehren daraus zu ziehen, beziehungsweise die Empfehlungen umzusetzen.","Etz het sies i de Hand, Dlehre drus zzieh, beziehigswiis dEmpfehlige umzsetze."
23801,Der Bahnhof verfiel immer mehr; zwischen den ungenutzten Bahnsteigen wuchsen sogar Bäume.,"Dr Bahnhof isch immer mehr verfalle, zwüsche de ungnutze Perrons sin sogar Bäum gwachse."
20602,"Das Amt war öffentlich ausgeschrieben, wie der Bundesrat mitteilte.","Z'Amt isch öffentlich üsgschribu gsi, wie der Bundesrat mitgeteilt het."
28728,"Er kritisierte zugleich, dass der damalige kostengünstige Sieger Gripen von Saab aus der Evaluation ausgeschlossen worden sei.","Är kritisiert glichziitig, dass de damals chostegönstigsti Sieger Gripen vo Saab us de Evaluation usgschlosse worde seg."
24277,Das sehen freilich längst nicht alle so.,Das gseh freihlich längst nid alli so.
2449,Dabei hatte er oben auf dem Berg geparkt.,Debii het er obe ufem Berg parkt.
11724,"Wir danken der Regierung, dass sie den Handlungsbedarf anerkennt.","Miar danken dr Regiarig, dass sie dr Handligsbedarf erkennt."
1435,Der im Libanon geborene kennt das Terrain und war selber im Feld.,De im Libanon Geboreni kennts Terrain und isch selber im Feld gsi.
11018,"Nach der geachteten Familie, welcher sie angehörte, wurde ich Robinson Kreuznaer genannt.","Noch dr gachteta Familia, wellera sie aghört het, bin i Robinson Kreuznaer gnennt worda."
2263,"Nach jedem Foul ruft die Menge sofort aus, der Schiedsrichter hat keine Zeit zu reagieren.","Noch jedem Foul rüeft dMenge sofort us, de Schiri het kei Ziit zreagiere."
6452,Weltbekannt wurde Goldblatt durch seine experimentellen Forschungsarbeiten auf dem Gebiet des Bluthochdrucks.,Weltbekannt isch dr Goldblatt dur sini experimentella Forschigsarbeta uffam Gebiat vum Bluathochdruck worda.
28909,"Wasserinsekten wie Rückenschwimmer, Teichläufer und kleine Libellenlarven siedeln sich von selbst an.","Wasserinsekte wie de Röggeschwemmer, Teichläufer ond chlini Libellelarve sedled sech vo sälber ah."
17831,"Für sie sind Fahrer Angestellte, entsprechend müsste Uber Versicherungsbeiträge für sie zahlen.","Für si sind Chauffeure Ahgstellti, dementsprächend müssti Uber Versicherigsbiträg für si zahle."
18128,Ruf doch nicht immer gleich aus das geht mir schon sehr auf die Nerven.,"Lüt doch nöd immer gad ah, das gaht mer scho sehr ufd Nerve."
21637,"Und das, ohne eine einzige Platte laufen zu lassen!","Und das, ohne en einzigi Platta lah z'löifu."
645,"«Großmutter, was hast du für große Augen!""","""Grossmuetter, wa hesch du für grossi Auge!"""
2871,"Aber die Erwartung ist, dass die digitale Telefonie die gleiche Glaubwürdigkeit und vor allem Stabilität hat wie die analoge Telefonie.","Aber d Erwartig isch, dass die digitali Telefonie die glichi Gloubwürdigkeit und vor auem Schtabilität het, wi die analogi Telefonie."
11589,Die Frage der Verkehrserschliessung wurde in der BaK ebenfalls intensiv diskutiert.,D Frog vur Verkehrserschlüssig isch in dr BaK ebafalls intensiv diskutiart worda.
822,Der 33-Jährige schwebt nicht mehr in Lebensgefahr.,De 33-jöhrig schwebt nüme in Lebensgfohr.
2529,Dann schimpfte sie auf Marion.,Denn het si uf dMarion gschimpft.
12939,September 2001 das Lied Amazing Grace in der St. Patrick’s Cathedral.,September 2001 ds Liad Amazing Grace in dr St. Patrick's Cathedral.
25372,Was suchst du denn hier?,Was suechch du denn do?
27442,Es ist Immer Teil von Machstrukturen.,Es esch emmer Teil fo Machtstrukture.
26083,Rotkäppchen nickte und machte sich auf den Weg.,s'Rotchäppli het gneckt ond het sech ofe Wäg gmacht.
13556,Dort funktioniere auch die Vernetzung der Kleinstrukturen viel besser als in den stark genutzten Regionen des Mittellands.,Döt funktioniart au d Vernetzig vu da Klistruktura viel besser als in da stark gnutzta Regiona vum Mittelland.
19299,Ex-Präsident Uli Hoeness äusserte sich bereits kämpferisch: «Wir haben ja etwas gut zu machen.»,"De Ex-Präsident Uli Hoeness hät sich scho kämpferisch güssered: "" Mir händ ja öpis guet zmache."""
22666,Einen bewussten Rechtsbruch dieser Art toleriere ich nicht.,En bewusste Rächtsbruch va der Art tolerieri nit.
